id,dniPaciente,matriculaMedico,fechaHora,duracionMin,motivo
T001,44289653,MP12345,2025-11-05T09:00,30,Control cardiologico
T002,38456789,MP23456,2025-11-05T10:30,45,Consulta pediatrica
T003,42158963,MP34567,2025-11-06T08:00,60,Dolor de rodilla
T004,35789456,MP45678,2025-11-06T14:00,30,Control ginecologico
T005,41236547,MP56789,2025-11-07T11:00,45,Dolor de cabeza
T006,39874521,MP67890,2025-11-07T15:30,30,Consulta dermatologica
T007,44562318,MP78901,2025-11-08T09:30,30,Control de vision
T008,37951236,MP89012,2025-11-08T16:00,30,Chequeo general
T009,43658741,MP90123,2025-11-09T10:00,45,Consulta gastroenterologica
T010,40123789,MP01234,2025-11-09T14:30,60,Sesion de terapia
